epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,766.839,0.7498,1.79123,1.18978,1.03412,0,0.82982,0.91664,0.98595,0.95787,0.82982,0.91664,0.98595,0.98595,0.30829,0.13295,1.47948,0.61467,0,0.000473429,0.000473429,0.000473429
2,1585.24,0.68124,1.44155,0.9077,0.98334,0,0.78589,0.99731,0.97071,0.96252,0.78589,0.99731,0.97071,0.96452,0.27222,0.44576,1.51553,0.51453,0,0.000933949,0.000933949,0.000933949
3,2376.74,0.69179,1.44163,0.85718,0.9891,0,0.92005,0.92827,0.98892,0.90399,0.92005,0.92827,0.98892,0.98892,0.45985,0.09951,1.35422,0.73624,0,0.00137861,0.00137861,0.00137861
4,2979.96,0.67624,1.41041,0.81122,0.98341,0,0.98762,0.99129,0.99458,0.9516,0.98444,0.97843,0.9941,0.9863,0.37185,0.46883,0.84956,0.68266,0,0.00135762,0.00135762,0.00135762
5,3439.57,0.66692,1.39208,0.79855,0.97739,0,0.98926,0.99804,0.995,0.96244,0.98926,0.99804,0.995,0.98506,0.34317,0.09322,0.69719,0.61673,0,0.00133383,0.00133383,0.00133383
6,3898.07,0.63694,1.36127,0.71882,0.97011,0,0.97117,0.99551,0.995,0.99167,0.97117,0.99551,0.995,0.99233,0.25473,0.34809,0.7133,0.51795,0,0.00131004,0.00131004,0.00131004
7,4360.95,0.63102,1.31471,0.66915,0.96551,0,0.99264,1,0.995,0.99404,0.99264,1,0.995,0.995,0.22393,0.10816,0.4834,0.43071,0,0.00128624,0.00128624,0.00128624
8,4826.87,0.62346,1.27505,0.65973,0.96038,0,0.96872,0.971,0.995,0.97942,0.96872,0.971,0.995,0.99281,0.30464,0.29285,0.54832,0.55635,0,0.00126245,0.00126245,0.00126245
9,5293.14,0.61167,1.30586,0.63254,0.95808,0,0.9971,1,0.995,0.99041,0.9971,1,0.995,0.99399,0.28122,0.09457,0.59379,0.49359,0,0.00123866,0.00123866,0.00123866
10,5765.31,0.60661,1.26929,0.60992,0.94786,0,0.9463,0.98551,0.99444,0.99117,0.9463,0.98551,0.99444,0.99444,0.25467,0.06515,0.50914,0.46618,0,0.00121486,0.00121486,0.00121486
11,6235.59,0.58758,1.21887,0.595,0.94702,0,0.97319,0.94189,0.99458,0.98347,0.97319,0.94189,0.99458,0.89426,0.28588,1.23365,0.61655,0.51483,0,0.00119107,0.00119107,0.00119107
12,6718.55,0.5876,1.21427,0.57922,0.94114,0,0.99525,0.98656,0.995,0.98082,0.99525,0.98656,0.995,0.99335,0.28334,0.06672,0.38076,0.49939,0,0.00116728,0.00116728,0.00116728
13,7204.3,0.58059,1.16537,0.56724,0.94259,0,0.98775,0.98685,0.995,0.98581,0.98775,0.98685,0.995,0.99433,0.22463,0.05553,0.43851,0.40158,0,0.00114349,0.00114349,0.00114349
14,7686.31,0.58,1.18967,0.5613,0.93485,0,0.99338,0.99902,0.995,0.99253,0.99338,0.99902,0.995,0.995,0.26706,0.06978,0.41821,0.50521,0,0.00111969,0.00111969,0.00111969
15,8171.97,0.58203,1.19423,0.55057,0.93769,0,0.75526,0.71182,0.9099,0.88946,0.75526,0.71182,0.9099,0.9099,0.29424,0.06365,1.23606,0.51599,0,0.0010959,0.0010959,0.0010959
16,8651.15,0.57041,1.17356,0.54097,0.94272,0,0.99822,1,0.995,0.995,0.99822,1,0.995,0.99433,0.29197,0.07808,0.41374,0.51161,0,0.00107211,0.00107211,0.00107211
17,9126.08,0.56861,1.14882,0.53366,0.93489,0,0.99329,0.9992,0.995,0.97536,0.99329,0.9992,0.995,0.995,0.3435,0.06397,0.37364,0.60704,0,0.00104831,0.00104831,0.00104831
18,9612.04,0.56153,1.1229,0.53149,0.93303,0,0.99774,1,0.995,0.98908,0.99774,1,0.995,0.99433,0.25637,0.07332,0.36575,0.47932,0,0.00102452,0.00102452,0.00102452
19,10086.7,0.55847,1.15997,0.51854,0.92617,0,0.99819,1,0.995,0.99433,0.99819,1,0.995,0.995,0.27685,0.05942,0.36501,0.51359,0,0.00100073,0.00100073,0.00100073
20,10572.8,0.55118,1.12933,0.50819,0.92755,0,0.99641,1,0.995,0.995,0.99641,1,0.995,0.995,0.21708,0.05593,0.38395,0.40411,0,0.000976936,0.000976936,0.000976936
21,11052.8,0.55149,1.08708,0.50483,0.93089,0,0.98627,0.98356,0.995,0.98222,0.98627,0.98356,0.995,0.995,0.27317,0.10097,0.50038,0.50256,0,0.000953143,0.000953143,0.000953143
22,64350.7,0.54853,1.07596,0.4933,0.92624,0,0.99714,1,0.995,0.99367,0.99714,1,0.995,0.995,0.25733,0.05285,0.33878,0.4657,0,0.00092935,0.00092935,0.00092935
23,64845.7,0.53982,1.05057,0.48457,0.92517,0,0.99766,1,0.995,0.995,0.99766,1,0.995,0.99433,0.26512,0.0794,0.43722,0.45892,0,0.000905557,0.000905557,0.000905557
