epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,157.31,0.35339,0.56248,1.69928,1.01296,0,0.95174,0.97389,0.995,0.97709,0.95174,0.97389,0.995,0.99156,0.35346,0.26279,1.20886,0.49067,0,0.00046641,0.00046641,0.00046641
2,313.661,0.31931,0.11524,0.69826,0.96233,0,0.80246,0.84079,0.9945,0.86676,0.80246,0.84079,0.9945,0.91354,0.55662,0.12898,1.32543,0.70927,0,0.000924077,0.000924077,0.000924077
3,467.041,0.3171,0.11703,0.60512,0.95735,0,0.97705,0.97696,0.99329,0.91496,0.97705,0.97696,0.99329,0.96908,0.2827,0.31343,1.09789,0.374,0,0.00136288,0.00136288,0.00136288
4,622.357,0.30573,0.11573,0.54412,0.95402,0,0.89541,0.95002,0.983,0.8842,0.89541,0.95002,0.983,0.96228,0.49532,0.34505,1.04962,0.57316,0,0.00134412,0.00134412,0.00134412
5,778.268,0.29203,0.0836,0.51153,0.94259,0,0.98123,0.98311,0.99393,0.94848,0.98123,0.98311,0.99393,0.98854,0.37808,0.06062,0.65886,0.45078,0,0.00131582,0.00131582,0.00131582
6,947.532,0.27259,0.07331,0.41969,0.93784,0,0.931,0.97665,0.995,0.95471,0.931,0.97665,0.995,0.98418,0.36235,0.17946,0.84137,0.47981,0,0.00128753,0.00128753,0.00128753
7,1105.56,0.28272,0.07619,0.40867,0.94065,0,0.97879,0.99122,0.995,0.99433,0.97879,0.99122,0.995,0.95179,0.18372,0.50034,0.51829,0.2583,0,0.00125923,0.00125923,0.00125923
8,1258.24,0.26987,0.07207,0.38191,0.93764,0,0.994,0.96786,0.97813,0.97746,0.994,0.96786,0.97813,0.97601,0.20312,0.05957,0.71112,0.27992,0,0.00123094,0.00123094,0.00123094
9,1409.09,0.26656,0.07257,0.37025,0.93407,0,0.99689,1,0.995,0.99154,0.99689,1,0.995,0.99433,0.2827,0.04589,0.49701,0.40125,0,0.00120265,0.00120265,0.00120265
10,1559.31,0.25296,0.07178,0.327,0.92551,0,0.99479,0.99834,0.995,0.98229,0.99479,0.99834,0.995,0.99361,0.28462,0.05224,0.39277,0.35208,0,0.00117435,0.00117435,0.00117435
11,1710.75,0.23832,0.07341,0.31133,0.92427,0,0.99826,1,0.995,0.89914,0.99826,1,0.995,0.9744,0.41821,0.0571,0.40867,0.46641,0,0.00114606,0.00114606,0.00114606
12,1862.36,0.24213,0.07077,0.29148,0.92793,0,0.96859,0.99789,0.995,0.993,0.96859,0.99789,0.995,0.99433,0.26889,0.06544,0.45366,0.36867,0,0.00111776,0.00111776,0.00111776
