epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.097,0.31709,1.68632,0.99708,0.99351,1,0.995,0.94,0.38011,1.16242,0.50897,0.00046641,0.00046641,0.00046641
2,240.098,0.29896,0.66737,0.95456,0.97832,0.96954,0.99204,0.94076,0.26055,0.90433,0.34768,0.000924077,0.000924077,0.000924077
3,359.658,0.30897,0.57783,0.95471,0.9924,0.98551,0.99393,0.98786,0.25516,1.03514,0.33632,0.00136288,0.00136288,0.00136288
4,475.849,0.28857,0.52602,0.94729,0.99764,1,0.995,0.96574,0.23524,0.87494,0.30345,0.00134412,0.00134412,0.00134412
5,598.253,0.27092,0.47118,0.93605,0.94903,0.99618,0.995,0.995,0.20179,0.85012,0.27056,0.00131582,0.00131582,0.00131582
6,717.851,0.26016,0.40213,0.93039,0.96132,0.94702,0.995,0.90007,0.43092,0.86211,0.538,0.00128753,0.00128753,0.00128753
7,848.393,0.26357,0.39944,0.93445,0.85054,0.96468,0.91333,0.82255,0.46372,0.97203,0.46242,0.00125923,0.00125923,0.00125923
8,973.66,0.24854,0.37426,0.9336,0.63339,0.94365,0.99302,0.90081,0.42327,0.99291,0.46751,0.00123094,0.00123094,0.00123094
9,1096.62,0.25027,0.35899,0.92588,0.77738,0.91413,0.92336,0.92166,0.27264,0.91279,0.36181,0.00120265,0.00120265,0.00120265
10,1218.62,0.24092,0.33856,0.92342,0.96619,0.96889,0.97261,0.97127,0.25656,0.6592,0.31872,0.00117435,0.00117435,0.00117435
11,1340.68,0.2354,0.31137,0.92406,0.98612,0.99887,0.99483,0.95366,0.36433,0.36161,0.46117,0.00114606,0.00114606,0.00114606
12,1467.31,0.23154,0.29279,0.92091,0.98901,0.99817,0.995,0.99433,0.18964,0.53103,0.28786,0.00111776,0.00111776,0.00111776
13,1584.9,0.23501,0.2946,0.92063,0.99791,1,0.995,0.99033,0.28648,0.46608,0.36768,0.00108947,0.00108947,0.00108947
14,1703.74,0.22215,0.27053,0.92143,0.99621,1,0.995,0.9938,0.28224,0.44765,0.35938,0.00106118,0.00106118,0.00106118
